Filename,Sentence,Manual-Sentiment
AMQ-5851,Send lot of messages so some message will get expired.,0
AMQ-5851,Steps to reproduce :.,0
AMQ-5851,Then we will see above error in the logs,0
AMQ-5851,When lot of messages got expired because of JMS client Time to Live (TTL) property then below error will appear and consumer will freeze.,0
AMQ-5854,.,0
AMQ-5854,.,0
AMQ-5854,.,0
AMQ-5854,.,0
AMQ-5854,.,0
AMQ-5854,An option may be to force rolling back transaction if there is a failover during the prepare phase of commit in ConnectionStateTracker.restoreTransactions().,0
AMQ-5854,broker : transport.useKeepAlive=false.,0
AMQ-5854,But one message is not rolled back (the transaction commit) and is also redileverd to another consummer.,-1
AMQ-5854,client : wireFormat.maxInactivityDuration=5000.,0
AMQ-5854,"Due to hight CPU usage, the inactity monitor closes connections between clients and broker while 16 messages were processed..                 15 messages are rolled back and redilevered to another consummer..",0
AMQ-5854,"For this duplicated message, the failover occur during prepare phase of commit :.",0
AMQ-5854,In the activeMq log we got the message :.,0
AMQ-5854,In the log we got 15 warnings :.,0
AMQ-5854,Our analysis :.,0
AMQ-5854,Problem description :.,0
AMQ-5854,Question :.,0
AMQ-5854,So it's processed twice by two different consummers (two inserts in database and two output JMS messages generated) and is not deduplicated..,0
AMQ-5854,Use case :.,0
AMQ-5854,We add Thread.sleep in the source code of org.apache.activemq.ActiveMQMessageConsumer to force failover to be done exactly where we think it causes problems :.,0
AMQ-5854,We are working on our side to find a correction.,0
AMQ-5854,We think that the duplicate message is caused by the failover during the prepare phase of the commit so we modify the source code to reproduce the case..                 Our modifications in config to produce failovers:.,0
AMQ-5854,We tried fixes described in https://issues.apache.org/jira/browse/AMQ-5068 and https://issues.apache.org/jira/browse/AMQ-3519 but it doesn閳ユ獩 help to solve our problem..                 Is there a workaround or a config parameter that can help to prevent this problem ?.,-1
AMQ-5854,"With Spring DMLC, Read a jms message in a queue, produce a jms message in an output queue and write data in database..",0
AMQ-5854,"With these changes on the configuration and the code, the problem is easily reproduced..                 We also try with transactedIndividualAck=true, and we add a Thread.sleep in the code :.",0
AMQ-5854,"With these modifications, we still get duplicates messages..                 We think that the problem is that the statement synchronized(deliveredMessages) prevents the call of clearDeliveredList() by another ActiveMQConnection thread that clears messages in progress..                 By adding logs we observe that a thread is waiting deliveredMessages 閳ユΞ lock in clearDeliveredList() method..                 .",-1
AMQ-6152,.,0
AMQ-6152,I have also found behavior inconsistent on the log files it does remove.,-1
AMQ-6152,I have tried to isolate the issue and create a minimal example (attached).,0
AMQ-6152,"In the troubleshooting I have done, the scheduler GC process is running, it's just deciding not to GC files that it should be.",0
AMQ-6152,It then consumes all 20 messages.,0
AMQ-6152,"On all other versions I've tried it always leaves the first 2 files, and sometimes will GC the 3rd.. Below is a snippet from the log of the scheduler process and why it's deciding not to GC these files:.",-1
AMQ-6152,Something is holding onto KahaDB scheduler log files.,0
AMQ-6152,"The ran the attached example/test on 5.10.0, 5.11.1, 5.12.0 and 5.13.0.",0
AMQ-6152,The test schedules 20 messages that are large enough to cause 4 log files to be created.,0
AMQ-6152,"This issue was originally reported in the Open Source PuppetDB project, ticket [here|https://tickets.puppetlabs.com/browse/PDB-1411].",0
AMQ-6152,We have reports of up to 400GB of scheduler log files.,0
AMQ-6152,"When on 5.10.0, it behaves like I would expect, files 1-3 are GC'd and the 4th (the current log file) is left.",0
AMQ-6262,A regression from https://issues.apache.org/jira/browse/AMQ-5794 ..,0
AMQ-6262,Connection watchdog is started for every initiated connection and stopped on WireFormatInfo command.,0
AMQ-6262,HTTP transport doesn't send WireFormatInfo so the watchdog never realises that the connection has been successfully established..,0
AMQ-6262,"I haven't seen that myself, but I had people reporting that if HTTP transports are in use, it eventually destabilises the broker and affects non-HTTP transports too.",0
AMQ-6262,"The connection gets terminated every 30seconds by the watchdog.. At the beginning, everything looks fine, but then you start getting exceptions and start losing packets.",-1
AMQ-6343,"(again, my LWT works when I use a tcp connexion).",0
AMQ-6343,"i traced the ActiveMQ log, i can see that the disconnection is detected, but i didn't receive my LWT message.",-1
AMQ-6343,I use several clients from a webapp' connected over a websocket link.. i use a javascript code:.,0
AMQ-6343,"I use several services, some of them connect over tcp and the LWT works properly..",0
AMQ-6343,this is my ActiveMQ configuration,0
AMQ-6451,Empty journal files:.,0
AMQ-6451,"If the preallocationStrategy is set to 'zeros', ActiveMQ can intermittently become unable to allocate direct buffer memory with the default JVM settings.",0
AMQ-6451,"In addition to handling this condition, perhaps the default ACTIVEMQ_OPTS_MEMORY settings should configure enough direct memory to allow some multiple of log files to be created near simultaneously, or at least this possibility documented in the KahaDB settings..",-1
AMQ-6451,lsof output:,0
AMQ-6451,Relevant logs:.,0
AMQ-6451,"The exception isn't handled, and ends up both creating an empty journal file and, more importantly, leaking a file descriptor.. ActiveMQ eventually runs out of file descriptors and crashes..",0
AMQ-6548,"At ear stop jsm connection consumes messages, although there occured exception",-1
AMQ-6707,It seams that it the same issue as in https://issues.apache.org/jira/browse/AMQ-5567.,0
AMQ-6707,When ActiveMQ 5.14.5 is configured with jdbc persistence storage (postgres) from time to time below error occurs:.,0
AMQ-6834,.,0
AMQ-6834,"From Camel 2.19.x, the camel-spring-dm feature/bundle has been totally removed, that's why the org.apache.camel.osgi.CamelNamespaceHandler couldn't be found anymore.",0
AMQ-6834,"Start karaf OSGi container, install Camel 2.19.2 and activemq-client feature (activemq-osgi bundle), then the ClassNotFoundException is thrown:.",0
AMQ-6834,There is still definition above in the spring.handlers of the activemq-osgi bundle.,0
AMQ-6834,this may need to be removed or updated from spring.handlers.,0
HADOOP-10142,Reduce the logs generated by ShellBasedUnixGroupsMapping.. For ex: Using WebHdfs from windows generates following log for each request,0
HADOOP-10468,{{TestMetricsSystemImpl.testMultiThreadedPublish}} can fail intermediately due to the insufficient size of the sink queue:.,0
HADOOP-10468,The unit test should increase the default queue size to avoid intermediate failure.,0
HADOOP-10937,Touchz-ing a file results in a Null Pointer Exception,0
HADOOP-11329,"Currently, HADOOP_HOME isn't part of the start up options of KMS.",0
HADOOP-11329,"If I add the the following configuration to core-site.xml of kms,.",0
HADOOP-11329,kms server will throw the following exception when receive "generateEncryptedKey" request.,0
HADOOP-11329,The reason is that it cannot find libhadoop.so.,0
HADOOP-11329,This will prevent KMS to response to "generateEncryptedKey" requests.,0
HADOOP-11693,"Copy blob is very costly in Azure storage and during Azure storage gc, it will be highly likely throttled.",-1
HADOOP-11693,"Current WASB retry policy is exponential retry, but only last at most for 2min.",-1
HADOOP-11693,HMaster aborted the region server and tried to restart it..,0
HADOOP-11693,"However, since the cluster was still being throttled by Azure storage, the upcoming distributed log splitting also failed.",-1
HADOOP-11693,"One of our customers' production HBase clusters was periodically throttled by Azure storage, when HBase was archiving old WALs.",0
HADOOP-11693,Short term fix will be adding a more intensive exponential retry when copy blob is throttled.,0
HADOOP-11693,"Sometimes hbase:meta table was on this region server and finally showed offline, which cause the whole cluster in bad state..",-1
HADOOP-11693,The throttling by Azure storage usually ends within 15mins.,0
HADOOP-11693,"When archiving old WALs, WASB will do rename operation by copying src blob to destination blob and deleting the src blob.",0
HADOOP-11754,RM fails to start in the non-secure mode with the following exception:.,0
HADOOP-11754,This is likely a regression introduced by HADOOP-10670.,0
HADOOP-12186,ActiveStandbyElector shouldn't call {{monitorLockNodeAsync}} before StatCallback for previous {{zkClient.exists}} is received.. We saw RM shutdown because ActiveStandbyElector retrying monitorLockNodeAsync exceeded limit.,-1
HADOOP-12186,So the retry for {{monitorLockNodeAsync}} doesn't work correctly sometimes.,0
HADOOP-12186,The current code doesn't prevent {{zkClient.exists}} from being called before AsyncCallback.StatCallback for previous {{zkClient.exists}} is received..,0
HADOOP-12186,"The following is the logs.. Based on the log, it looks like multiple {{monitorLockNodeAsync}} are called at the same time due to back-to-back SyncConnected event received..",0
HADOOP-12602,I have seen this test failed a few times in the past.. Error Message.,0
HADOOP-12602,Stacktrace.,0
HADOOP-12602,Standard Output,0
HADOOP-12622,"From the code below in RetryInvocationHandler.java, even the retry ends, we don't put warn messages to include how much/many time/ counts we spent on retry logic that make it harder to debug.. We should add failAction.reason as much as we can in multiple retry policies.",-1
HADOOP-12622,"In addition, we should keep consistent in log level for message during the retry attempts: now the ipc.client is INFO, but RetryInvocationHandler is DEBUG (if not fail_over).",-1
HADOOP-12622,"In debugging a NM retry connection to RM (non-HA), the NM log during RM down time is very misleading:.",-1
HADOOP-12622,It actually only log client side retry on NetworkConnection failure but not include any info on RetryInvocationHandler where the real retry policy works.,-1
HADOOP-12622,We should keep them consistent or it could be very confusing.,-1
HADOOP-12655,"In the following case, the first server bound to port 53212, and the second one bound to port 53225, which violated the assertion in the test case (the second port is supposed to be no more than the first + 8)",-1
HADOOP-12655,It also appeared previously in Hadoop-common-trunk-Java8 jenkins on Oct 21..,0
HADOOP-12655,Saw it in a pre-commit jenkins job https://builds.apache.org/job/PreCommit-HADOOP-Build/8242/testReport/org.apache.hadoop.http/TestHttpServer/testBindAddress/.,0
HADOOP-1712,.,0
HADOOP-1712,exception on the datanode :.,0
HADOOP-1712,One of the un-handled IOException during BlockCRC upgrade results in the upgrade thread to exit with out proper upgrade.,-1
HADOOP-1712,Will also check if there are any more of such misses.,0
HADOOP-1717,.,0
HADOOP-1717,I believe Raghu is working on a patch which will remove the non-standard tar -z dependency.. From Enis Soztutar:.,0
HADOOP-1717,TestDFSUpgradeFromImage fails for hadoop-patch and hudson-nightly builds on hudson.,0
HADOOP-1717,TestDFSUpgradeFromImage is broken on Solaris so all patch builds will fail until it is fixed.,0
HADOOP-1717,The error thrown is :,0
HADOOP-1955,.,0
HADOOP-1955,.,0
HADOOP-1955,[Datanode(one of the receiver) 99.9.99.37 log],0
HADOOP-1955,[Datanode(sender) 99.9.99.11 log].,0
HADOOP-1955,Namenode keeps on retrying (with the same source datanode).. Fsck shows those blocks as under-replicated.. [Namenode log].,0
HADOOP-1955,"When replicating corrupted block, receiving side rejects the block due to checksum error.",0
HADOOP-2256,I will attach the log.,0
HADOOP-2256,Part of the log :.,0
HADOOP-2256,Summery might look like same as HADOOP-2200 but symptoms in log are different and I think the reason is different.,0
HADOOP-2486,.,0
HADOOP-2486,.,0
HADOOP-2486,.,0
HADOOP-2486,.,0
HADOOP-2486,.,0
HADOOP-2486,Both jobs finish successfully.,1
HADOOP-2486,Could this error be somehow related to my having different # of records?,0
HADOOP-2486,I ran separate linecount mapred jobs on both the input and the output to see if  the counters are reporting the correct number.,0
HADOOP-2486,No failed tasks.,0
HADOOP-2486,No speculative execution.,0
HADOOP-2486,Note: I'm really not sure if this is a bug in my code or in mapred.,-1
HADOOP-2486,"Only error stood out in that  reducer userlog is, .",0
HADOOP-2486,"What's weird to me is, when I rerun my code with exact same input, usually I get an expected #map output recs == #reduce output recs..",-1
HADOOP-2486,"When I looked at all the 513 reducer counter, I found single reducer with different counts for the two runs.",0
HADOOP-2486,"With my mapreduce job without combiner,  I sometimes see   # of total Map output records != # of total Reduce input records.",0
HADOOP-2756,Look to see if the response data method needs to be made volatile (There's a test for null just before we use it on line #2262).,0
HADOOP-2756,Saw this in logs:.,0
HADOOP-2814,But there is an NPE in datanode (using branch-0.16) :,-1
HADOOP-2814,The test passes.,0
HADOOP-2971,But we have already read a few bytes from it!.,-1
HADOOP-2971,socket.getRemoteSocketAddress() returned null implying this socket is not connected yet.,0
HADOOP-2971,TestJobStatusPersistency failed and contained DataNode stacktraces similar to the following :.,0
HADOOP-2971,The error is strange.,-1
HADOOP-2971,This is mostly related to HADOOP-2346.,0
HADOOP-3035,"Currently if a crc error occurs when data-node replicates a block to another node it throws an exception, and continues..",0
HADOOP-3035,The data-node should report the error to the name-node so that the corrupted replica could be removed and replicated.,0
HADOOP-3108,"Not sure if this is fixed in later release, but I'm seeing many NPE in the namenode log..",-1
HADOOP-3108,Permission is disabled on this cluster.,0
HADOOP-3418,...before this finishes.,0
HADOOP-3418,{{$ bin/hadoop fs -put largeFile tmp/tmpFile}}.,0
HADOOP-3418,{{$ bin/hadoop fs -rmr tmp}}.,0
HADOOP-3418,How to reproduce :.,0
HADOOP-3418,Now restart NameNode..,0
HADOOP-3418,Restart fails with :,0
HADOOP-3576,.,0
HADOOP-3576,.,0
HADOOP-3576,"After this, the namespace of /a/b is gone.",0
HADOOP-3576,"But, restarting now, throws an exception on NameNode and NameNode wouldn't start..",-1
HADOOP-3576,Consider the example.,0
HADOOP-3576,hadoop dfs -mv command throws NullPointerException while moving a directory to its subdirecotry.,0
HADOOP-3576,"In 0.17 version, such a move was not allowed.",0
HADOOP-3576,"In hadoop 0.17, we never allowed such a move..",0
HADOOP-3576,Opening this JIRA to fix the underlying problem while HADOOP-3561 could be committed.,0
HADOOP-3576,"Restarting the namenode recovers this namespace and everything seems to be normal.. On the other hand, before restarting the namenode, if we delete the directory /a, it succeeds.",0
HADOOP-3576,This is the issue seen with HADOOP-3561.,0
HADOOP-3635,Datanode was still up and running but no verification.. Jstack didn't show DataBlockScanner.,-1
HADOOP-3635,I see bunch of datanodes stop verifying local blocks.. ".out" showed .,0
HADOOP-3635,Namenode log also showed .,0
HADOOP-5539,.,0
HADOOP-5539,do not maintain compression setting the writer (o.a.h.mapred.Merger.class line 432).,0
HADOOP-5539,hadoop-site.xml :.,0
HADOOP-5539,I added .,0
HADOOP-5539,I can read the data in .,0
HADOOP-5539,I can see no benefit for these not maintaining the compression setting and as it looks they where intended to maintain it.,-1
HADOOP-5539,I have confirmed this with the logging and I have looked at the files on the disk of the tasktracker.,0
HADOOP-5539,I thank this is just and oversight of the codec not getting set correctly for the on disk merges..,0
HADOOP-5539,Just before the creation of the writer o.a.h.mapred.Merger.class line 432. and it outputs the second line above..,0
HADOOP-5539,map output files are compressed but when the in memory merger closes .,-1
HADOOP-5539,mapred.compress.map.output = true.,0
HADOOP-5539,on the reduce the on disk merger runs to reduce input files to <= io.sort.factor if needed.,0
HADOOP-5539,passes the codec but I added some logging and its always null map output compression set true or false..,-1
HADOOP-5539,telling me the compression is working on the map end but not on the on disk merge that produces the intermediate..,-1
HADOOP-5539,the intermediate files clearly telling me that there not compressed but I can not read the map.out files direct from the map output.,-1
HADOOP-5539,This causes task to fail if they can not hold the uncompressed size of the data of the reduce its holding.,0
HADOOP-5539,when this happens it outputs files called intermediate.x files these .,0
HADOOP-7629,"JOB_DIR_PERMISSION is an immutable FsPermission which cannot be used in RPC calls, it results in the following exception:",-1
HADOOP-7629,MAPREDUCE-2289 introduced the following change:.,0
HADOOP-8721,(sshfence technique configured).,0
HADOOP-8721,Active NN on machine1.,0
HADOOP-8721,After zk session timeout ZKFC at machine2 side gets notification that NN1 is not there.. ZKFC tries to failover NN2 as active.. As part of this during fencing it tries to connect to machine1 and kill NN1.,0
HADOOP-8721,Also after that standby NN is not able to take over as active (because of fencing failure)..,0
HADOOP-8721,From ZKFC log:,0
HADOOP-8721,Machine1 is isolated from the network (machine1 network cable unplugged).,0
HADOOP-8721,Scenario:.,0
HADOOP-8721,Standby NN on machine2.,0
HADOOP-8721,Suggestion: If ZKFC is not able to reach other NN for specified time/no of retries it can consider that NN as dead and instruct the other NN to take over as active as there is no chance of the other NN (NN1) retaining its state as active after zk session timeout when its isolated from network.,0
HADOOP-8721,This connection retry happens for 45 times( as it takes  ipc.client.connect.max.socket.retries).,0
HADOOP-9865,(See the attached patch.),0
HADOOP-9865,"From the log and debug, the job failed because we failed to create the Jar with classpath (see code around {{FileUtil.createJarWithClassPath}}) in {{ContainerLaunch}}.",0
HADOOP-9865,"However, I think the impact is larger.",0
HADOOP-9865,I discovered the problem when running unit test TestMRJobClient on Windows.,0
HADOOP-9865,I modified some code and the unit test passed.,0
HADOOP-9865,I think this is a regression from HADOOP-9817.,0
HADOOP-9865,"I will add some unit tests to verify the behavior, and work on a more complete fix.",0
HADOOP-9865,"In the unit test, we try to launch a job and list its status.",0
HADOOP-9865,The cause is indirect in this case.,0
HADOOP-9865,"The job failed, and caused the list command get a result of 0, which triggered the unit test assert.",0
HADOOP-9865,The relevant log looks like the following..,0
HADOOP-9865,This is a Windows specific step right now; so the test still passes on Linux.,0
HADOOP-9865,This step failed because we passed in a relative path to {{FileContext.globStatus()}} in {{FileUtil.createJarWithClassPath}}.,0
HDFS-10512,I observed this bug in a production CDH 5.5.1 cluster and the same bug still persist in upstream trunk..,0
HDFS-10512,I think the NPE comes from the volume variable in the following code snippet.,0
HDFS-10512,"Somehow the volume scanner know the volume, but the datanode can not lookup the volume using the block.",-1
HDFS-10512,This is different from HDFS-8850/HDFS-9190.,0
HDFS-10512,VolumeScanner may terminate due to unexpected NullPointerException thrown in {{DataNode.reportBadBlocks()}}.,-1
HDFS-10609,{quote}.,0
HDFS-10609,{quote}.,0
HDFS-10609,"2016-07-06 12:12:51,992 ERROR org.apache.solr.update.HdfsTransactionLog: Exception closing tlog.. org.apache.hadoop.hdfs.protocol.datatransfer.InvalidEncryptionKeyException: Can't re-compute encryption key for nonce, since the required block key (keyID=557709482) doesn't exist.",0
HDFS-10609,"2016-07-06 12:12:51,997 ERROR org.apache.solr.update.CommitTracker: auto commit error...:org.apache.solr.common.SolrException: org.apache.hadoop.hdfs.protocol.datatransfer.InvalidEncryptionKeyException: Can't re-compute encryption key for nonce, since the required block key (keyID=557709482) doesn't exist.",0
HDFS-10609,at java.lang.Thread.run(Thread.java:745).,0
HDFS-10609,at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471).,0
HDFS-10609,at java.util.concurrent.FutureTask.run(FutureTask.java:262).,0
HDFS-10609,at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.access$201(ScheduledThreadPoolExecutor.java:178).,0
HDFS-10609,at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:292).,0
HDFS-10609,at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615).,0
HDFS-10609,at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.addDatanode2ExistingPipeline(DFSOutputStream.java:1272).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.addDatanode2ExistingPipeline(DFSOutputStream.java:1272).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.processDatanodeError(DFSOutputStream.java:1147).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.processDatanodeError(DFSOutputStream.java:1147).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:632).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:632).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.setupPipelineForAppendOrRecovery(DFSOutputStream.java:1433).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.setupPipelineForAppendOrRecovery(DFSOutputStream.java:1433).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.transfer(DFSOutputStream.java:1308).,0
HDFS-10609,at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.transfer(DFSOutputStream.java:1308).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.checkTrustAndSend(SaslDataTransferClient.java:211).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.checkTrustAndSend(SaslDataTransferClient.java:211).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.doSaslHandshake(SaslDataTransferClient.java:474).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.doSaslHandshake(SaslDataTransferClient.java:474).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.getEncryptedStreams(SaslDataTransferClient.java:299).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.getEncryptedStreams(SaslDataTransferClient.java:299).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.send(SaslDataTransferClient.java:242).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.send(SaslDataTransferClient.java:242).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.socketSend(SaslDataTransferClient.java:183).,0
HDFS-10609,at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.socketSend(SaslDataTransferClient.java:183).,0
HDFS-10609,at org.apache.solr.update.CommitTracker.run(CommitTracker.java:216).,0
HDFS-10609,at org.apache.solr.update.DirectUpdateHandler2.commit(DirectUpdateHandler2.java:623).,0
HDFS-10609,at org.apache.solr.update.TransactionLog.decref(TransactionLog.java:505).,0
HDFS-10609,at org.apache.solr.update.UpdateLog.addOldLog(UpdateLog.java:380).,0
HDFS-10609,at org.apache.solr.update.UpdateLog.postCommit(UpdateLog.java:676).,0
HDFS-10609,"Caused by: org.apache.hadoop.hdfs.protocol.datatransfer.InvalidEncryptionKeyException: Can't re-compute encryption key for nonce, since the required block key (keyID=557709482) doesn't exist.",0
HDFS-10609,Current key: 1350592619.         at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.DataTransferSaslUtil.readSaslMessageAndNegotiatedCipherOption(DataTransferSaslUtil.java:417).,0
