EventId_In_Loghub2.0,EventTemplate,ManualEmotion
E39,pan_ips: error -- cmd_timeout_task_query: couldn't send task_query <*> (pan_sock: connection reset by peer),
E843,LSI Logic MegaRAID driver,
E1144,CPU0: <*> stepping <*>,
E657,INFO: CLASSCFG[<*>] set to FSWEIGHT <*>,
E986,"MSysProcessArgs(<*>,<*>,<*>)",
E948,<*>: <*>: <*>: <*> Network Connection,
E190,invcol Error: Cannot create directory <*>. Please ensure there,
E1008,(CRON) STAT FAILED (<*>),
E1114,<*> shutdown failed,
E606,Lustre: <*>:(<*>) maximum lustre stack <*>,
E650,[CONF]: [super]: syslog-server <*>,
E870,"Listening on interface <*>, <*>",
E517,[<*>]: Failed to set SwitchInfo on switch=<*>,
E298,Received disconnect from <*>: <*>: Corrupted MAC on input.,
E372,ACPI: LAPIC (acpi_id[<*>] lapic_id[<*>] disabled),
E362,Kickstart: setup the cisco (topspin) ib stack,
E927,oom-killer: gfp_mask=<*>,
E962,"MSysLaunchAction(<*>,)",
E27,<*> device driver build failed for kernel <*>-<*>. <*> failed to find kernel source at <*>. <*> requires kernel source to build device drivers.,
E782,Kickstart: <*> pbs server block,
E995,fs_client_cap: done,
E735,unexporting all filesystems,
E1174,fsck.ext3 -a <*>,
E1165,MSRUpdate(),
E643,"megaraid: hw error, cannot reset",
E455,Kickstart: Configure sysctl parameters,
E162,<*>: SYSERR(<*>): returntosender: cannot select queue for postmaster,
E278,"biosie.bin: page allocation failure. order:<*>, mode:<*>",
E982,"MRMProcessConfig(<*>,<*>)",
E1020,<*>: <*>: <*>: NIC Link is Up <*> Mbps <*>,
E329,debug: could not init rm_client: <*> (Out of memory),
E1181,RSP: <*> EFLAGS: <*>,
E399,Unable to register SCSI device <*> at line <*> of file <*>,
E143,"EXT3-fs error (device <*>): <*>: unable to read inode block - inode=<*>, block=<*>",
E824,nfs_statfs: statfs error = <*>,
E590,Using IOAPIC for interrupt routing,
E1050,"SUFileLoad(<*>,<*>,<*>,<*>,<*>,<*>)",
E294,data_thread() got not answer from any [<*>] datasource,
E989,"serio: <*> AUX port at <*>,<*> irq <*>",
E246,VIPKL(<*>[<*>]: XHH_hob_register_mr: Device in FATAL state,
E919,session closed for user <*>,
E890,ACPI: Local APIC address <*>,
E437,[CONF]: [super]: config snmp-server host <*>,
E493,Disconnecting: Corrupted MAC on input.,
E1058,THH(<*>): HCR dump END,
E49,"pan_ips: error -- nexus initiator connect callback, <*> (pan_sock: network unreachable), err_loc=<*>, <*>",
E773,hw_random: RNG not detected,
E688,INFO: rsv <*> hostlist initialized,
E416,usb <*>: new high speed USB device using address <*>,
E94,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,surprise
E823,<de <*> HighMem per-cpu: empty,
E1077,MServerUpdate(),
E1006,Using <*> MHz HPET timer.,
E682,<*> rejecting I/O to offline device,
E430,Registering secondary module capability,
E301,Configuration file <*> parsed but has no entries (like <*>),surprise
E68,[<*>]: Failed to GetSwitchInfo(guid=<*> LID=<*>) for checking SwitchInfo:port_state_change,
E839,[<*>]: Set LID failed because <*>,
E1137,MPBSGetData(<*>),
E797,VFS: Mounted <*> (<*> filesystem).,
E147,Instrumentation Service EventID: <*> Server Administrator starting,
E404,mounted filesystem with ordered data mode.,
E706,"[<*>]: hop_count: <*>, direct_path: <*>",
E97,fatal: scan_dir_push: open directory deferred: Too many open files in system,
E261,Unable to register device <*> (no Directive -d <*>). Exiting.,
E133,ide: Assuming <*> system bus speed for PIO modes; override with idebus=xx,
E725,PCI: Using configuration type <*>,
E481,Warning: acpi_table_parse(<*>) returned <*>!,
E941,"__MPBSSystemQuery(<*>,<*>)",
E1155,<*>: message-id=<*>,
E421,Tavor HCA Driver: probe of <*> failed with error <*>,
E1012,net.core.rmem_max = <*>,
E1196,PML4 <*> PGD <*> PMD <*>,
E411,task migration cache decay timeout: <*> msecs.,
E486,"THH(<*>): HCR dump, starting at addr <*>, size=<*>:",
E1204,<*> - <*> (usable),
E427,megaraid: probe new device <*>: bus <*>:slot <*>:func <*>,
E508,Kerberos password accepted for user <*> (<*>).,
E1035,Kickstart Install: <*>,
E640,Initializing Cryptographic API,
E886,bogus UDP packet length: <*>,
E758,INFO: node steps eliminated: <*>,
E961,terminating on signal <*>,
E677,IPv6 over IPv4 tunneling driver,
E591,failed to contact portmap (errno <*>).,
E15,Instrumentation Service EventID: <*> Redundancy lost Redundancy unit: <*> Redundancy Chassis location: <*> System Chassis Previous redundancy state was: <*>,
E321,[FATAL]: _ib_smSetSmCapability: ioctl(<*>) code=<*>,
E644,Checking filesystems succeeded,joy
E551,Unmounting NFS filesystems (retry): <*>,
E713,INFO: updating acct fairshare,
E479,Disabled Privacy Extensions on device <*>(<*>),
E50,"obj_id: <*>, mgr_id: <*>, cb_id: <*>, cb_type: <*>, desired_cb_type: <*>, offset:<*>, length:<*>, flags:<*>, args_flags: <*>, <*>",
E746,Received SNMP packet(s) from <*>,
E589,Using local APIC timer interrupts.,
E1227,disk at <*>,
E474,"Device: <*>, initial Temperature is <*> Celsius",
E342,"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)",
E521,Kickstart: convert to static ip on boot,
E787,inserting floppy driver for <*>,
E398,"<*>: from=<*>, status=expired, returned to sender",
E1017,<*>-rh1 (Release Date: <*>),
E288,process_limit: processing hard nofile <*> for DEFAULT,
E1009,net.core.wmem_max = <*>,
E322,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)",
E310,EXT3-fs: write access <*> be enabled during recovery.,
E60,warning: qmgr_active_corrupt: save corrupt file queue active id <*>: No such file or directory,
E837,lctl R running task <*> <*> <*> (NOTLB),
E1031,Entering runlevel: <*>,
E354,"mount: according to mtab, <*> is already mounted on <*>",
E81,"<*>: <*>, Fault Status assert (deassertion event) (Drive Array,Slot/Connector Number: <*>)",
E1028,SUFileBufCreate(<*>),
E1081,[INFO]: Web Agent <*>,
E1068,DHCPOFFER on <*> to <*> via <*>,
E140,error: lastlog_get_entry: Error reading from <*>: Input/output error,
E198,Bootdata ok (command line is initrd=<*> console=<*> BOOT_IMAGE=<*>),
E936,<*> hardware driver <*> loaded,
E694,[<*>]: async events require sweep,
E1075,... autorun DONE.,
E645,execvp: No such file or directory,
E683,Security Scaffold <*> initialized,
E652,Configuring kernel parameters: <*>,
E766,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>,
E204,PCI-DMA: Using software bounce buffering for IO (SWIOTLB),
E107,mount.panfs error: cannot find object indicated by path <*> (<*> (bindcache: <*>)),
E568,MStatInitializeActiveSysUsage(),
E108,"Mellanox Tavor Device Driver is creating device <*> (domain=<*>, bus=<*>, devfn=<*>)",
E958,synchronisation lost,
E567,"PCI interrupt <*>[<*>] -> GSI <*> (level, <*>) -> IRQ <*>",
E1038,PCI Root Bridge [<*>] (<*>),
E1147,VIPKL( failed,
E36,[KERNEL_IB][ib_mad_static_compute_base][<*>]Couldn't find a suitable network device; setting lid_base to <*>,
E1119,"objid <*>, caller (<*>)",
E1180,"MUSetEnv(<*>,<*>)",
E271,WARNING: Setting tty modes failed: Invalid argument,
E587,PAM transaction resulted in error.,
E610,Remounting filesystem read-only,
E1015,"MStatClearUsage(<*>,<*>)",
E1132,Initializing.,
E1106,RNG not detected,
E262,THH(<*>): [XHH_qpm_process_local_mad]: ERROR on port <*>: <*>,
E98,fatal: scan_dir_push: open directory maildrop: Too many open files in system,
E699,Monitoring <*> ATA and <*> SCSI devices,
E186,"pan_ips: error -- cmd scsi, <*> (pan_sock: timeout), err_loc=<*>, <*>",
E851,<*> key generation succeeded,joy
E269,"<*>: <*>: fl=<*>, mode=<*>: FIFO: dev=<*>, ino=<*>, nlink=<*>, u/gid=<*>, size=<*>",
E946,FADT (<*> DELL PE BKC <*> MSFT <*>) @ <*>,
E119,"[<*>] tsqe1: (P:<*>,S:<*>,M:<*>,D:<*>) [Down][DEFAULT][[NONE]]<*> C:[NONE] DEFAULT sqe",
E95,"[<*>]: Force port (node=<*>, port=<*>) to DOWN because state(<*>) should be active but not.",surprise
E632,LustreError: <*>:(<*>) no device for: <*>,
E79,"[INFO]: Transitioning to Master, DB was not synchronized with previous Master Guid <*>",
E450,"[<*>]: Failed to discover port - GUID=<*>, port=<*>",
E467,<*> kernel module initialized successfully,joy
E685,Local password failed for user <*>.,
E373,VIPKL(<*>): [create_mr] MM_bld_hh_mr failed (<*>),
E583,SCSI device <*>: <*> <*>-byte hdwr sectors (<*> MB),
E545,See the manual for more instructions.,
E598,WARNING: cannot create statfile '<*>',
E559,INFO: parameter <*> assigned int value <*>,
E196,THH(<*>): <*>[<*>]: XHH_hob_query_port_prop: Device in FATAL state,
E276,mount.panfs: couldn't create mtab lock file: <*> errno: <*>,
E709,Shutting down GANGLIA gmetad:,
E686,smartd is exiting (exit status <*>),
E829,Creating Topspin <*> entries:,
E357,INFO: executing scheduler from <*> under UID <*> GID <*>,
E515,[<*>]: Failed to set MFT to zero for switch=<*>,
E696,Intel(R) Xeon(TM) CPU <*> stepping <*>,
E702,<*>: <*>: orphan cleanup on readonly fs,
E248,Reading included configuration file: <*> [file=<*>] [line=<*>],
E898,"[INFO]: IB SM Sweep PID= <*>, <*>",
E1173,DHCPACK from <*>,
E443,<*>{:panfs:pan_sock_linux_kernel_sock_c <*>,
E716,Bringing up interface <*>: failed,
E930,INFO: new class <*> added,
E1142,<*> <*> entries driver,
E287,Kickstart/Yast Install: Finished installation on <*>,
E855,net.core.wmem_default = <*>,
E114,"THH(<*>): handle_eqe_ib_events: QP event on qpn= <*> event type is <*> (<*>), syndrome=<*>",
E448,ssh[<*>] general protection rip:<*> rsp:<*> error:<*>,
E1062,"connection from ""<*>""",
E557,mount.panfs: started PanFS device [<*>],
E825,Fusion MPT SCSI Host driver <*>,
E494,Kickstart: setup authorization schema,
E1016,"MFSLoadDataFile(<*>,<*>)",
E1138,kernel.sysrq = <*>,
E197,Package Release ID=<*> Package Description=<*> Support Log path=<*>,
E537,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),
E78,"[<*>]: Clean up SA resources for port forced down due to LID conflict, node - GUID=<*>, port=<*>",
E692,Received signal <*>; terminating.,
E952,Checking aperture...,
E633,"THH(<*>): <*>[<*>]: outstanding i=<*>, token=<*>",
E177,"<*>: <*>, Fault Status assert (Drive Array,Slot/Connector Number: <*>)",
E1078,MSysDaemonize(),
E1072,"MUGetIndexCI(<*>,<*>,<*>)",
E934,"/: clean, <*> files, <*> blocks",
E175,Authentication refused: bad ownership or modes for directory <*>,sadness
E73,"auths-pam: PAM subprocess returned packet SSH_PAM_OP_ERROR. (err_num: <*>, err_msg: <*>)",
E1051,MAMSetDefaults(),
E626,LustreError: <*> ASSERTION(<*>) failed,
E270,EXT3-fs: mounted filesystem with ordered data mode.,
E1151,fs.file-max = <*>,
